Parameter,Value
Age,25
Native Language,Belarusian
Education,Master's
Programming Experience,3
Country,Belarus
Age,21
Native Language,Italian
Education,High School
Programming Experience,3
Country,Switzerland
Age,25
Native Language,italian
Education,Bachelor's
Programming Experience,4
Country,Italy
Age,22
Native Language,Italian
Education,High School
Programming Experience,1
Country,Switzerland
Age,22
Native Language,Russian
Education,High School
Programming Experience,2
Country,Russia
Age,22
Native Language,Moldovan
Education,High School
Programming Experience,3
Country,Italy
Age,62
Native Language,Italian
Education,High School
Programming Experience,0
Country,Italy
Age,21
Native Language,Italian
Education,High School
Programming Experience,3
Country,Italy
Age,21
Native Language,Azeri
Education,Bachelor's
Programming Experience,5
Country,Azerbaijan
Age,21
Native Language,Russian
Education,Bachelor's
Programming Experience,4
Country,Russia
